"2 규모 (10 ~ 29인)","전문대졸","남","30 ~ 34",31.9,21.1,180.0,166.8,13.2,2.8,3379
"2 규모 (10 ~ 29인)","전문대졸","남","35 ~ 39",37.1,21.4,179.1,168.3,10.8,3.0,3772
"2 규모 (10 ~ 29인)","전문대졸","남","40 ~ 44",42.0,21.4,180.5,168.8,11.7,3.6,4181
"2 규모 (10 ~ 29인)","전문대졸","남","45 ~ 49",47.0,21.3,178.3,167.9,10.3,2.6,4311
"2 규모 (10 ~ 29인)","전문대졸","남","50 ~ 54",51.9,21.3,176.4,168.0,8.5,2.3,4649
"2 규모 (10 ~ 29인)","전문대졸","남","55 ~ 59",56.7,20.9,171.8,163.7,8.1,2.0,4557
"2 규모 (10 ~ 29인)","전문대졸","남","60세 ~",64.6,21.0,171.8,166.8,4.9,1.4,3502
"2 규모 (10 ~ 29인)","전문대졸","여","20 ~ 24",22.6,19.9,153.6,149.3,4.3,0.4,2098
"2 규모 (10 ~ 29인)","전문대졸","여","25 ~ 29",27.1,21.2,169.9,165.0,4.9,0.6,2568
"2 규모 (10 ~ 29인)","전문대졸","여","30 ~ 34",31.8,21.0,167.1,162.3,4.8,0.8,2780
"2 규모 (10 ~ 29인)","전문대졸","여","35 ~ 39",37.0,20.8,161.2,157.8,3.4,0.7,2910
"2 규모 (10 ~ 29인)","전문대졸","여","40 ~ 44",42.0,20.9,160.5,156.6,3.9,0.7,3004
"2 규모 (10 ~ 29인)","전문대졸","여","45 ~ 49",47.0,20.8,159.1,155.7,3.4,0.8,3157
"2 규모 (10 ~ 29인)","전문대졸","여","50 ~ 54",51.8,20.9,157.2,153.1,4.1,0.9,3011
"2 규모 (10 ~ 29인)","전문대졸","여","55 ~ 59",56.8,21.0,151.1,145.6,5.4,1.7,2776
"2 규모 (10 ~ 29인)","전문대졸","여","60세 ~",63.6,21.1,144.5,142.1,2.3,0.5,2562
"2 규모 (10 ~ 29인)","대졸이상","전체","20 ~ 24",23.4,20.8,165.8,162.2,3.7,0.6,2441
"2 규모 (10 ~ 29인)","대졸이상","전체","25 ~ 29",27.2,20.8,169.0,164.2,4.7,0.7,2873
"2 규모 (10 ~ 29인)","대졸이상","전체","30 ~ 34",31.9,21.0,171.1,165.2,5.9,1.0,3570
"2 규모 (10 ~ 29인)","대졸이상","전체","35 ~ 39",37.0,20.9,169.7,164.1,5.6,1.1,4373
"2 규모 (10 ~ 29인)","대졸이상","전체","40 ~ 44",42.0,21.0,169.1,163.4,5.7,1.1,4706
"2 규모 (10 ~ 29인)","대졸이상","전체","45 ~ 49",47.0,20.9,168.3,163.4,4.9,0.8,5124
"2 규모 (10 ~ 29인)","대졸이상","전체","50 ~ 54",51.9,20.9,168.1,163.5,4.6,1.0,5644
"2 규모 (10 ~ 29인)","대졸이상","전체","55 ~ 59",56.9,20.8,166.4,162.6,3.8,0.8,5637
"2 규모 (10 ~ 29인)","대졸이상","전체","60세 ~",64.6,20.4,159.7,157.3,2.4,0.6,4927
"2 규모 (10 ~ 29인)","대졸이상","남","20 ~ 24",23.5,21.1,169.5,164.4,5.1,1.3,2601
"2 규모 (10 ~ 29인)","대졸이상","남","25 ~ 29",27.4,20.9,171.5,165.3,6.2,1.1,2989
"2 규모 (10 ~ 29인)","대졸이상","남","30 ~ 34",32.0,21.1,174.7,167.1,7.7,1.4,3869
"2 규모 (10 ~ 29인)","대졸이상","남","35 ~ 39",37.0,21.1,173.2,166.7,6.6,1.4,4746
"2 규모 (10 ~ 29인)","대졸이상","남","40 ~ 44",41.9,21.1,173.2,166.2,7.0,1.4,5200
"2 규모 (10 ~ 29인)","대졸이상","남","45 ~ 49",47.0,21.0,172.7,166.9,5.8,1.0,5922
"2 규모 (10 ~ 29인)","대졸이상","남","50 ~ 54",51.9,21.0,171.1,165.7,5.4,1.2,6359
"2 규모 (10 ~ 29인)","대졸이상","남","55 ~ 59",56.9,20.9,169.3,165.2,4.1,0.8,6286
"2 규모 (10 ~ 29인)","대졸이상","남","60세 ~",64.8,20.5,162.3,159.9,2.4,0.6,5189
"2 규모 (10 ~ 29인)","대졸이상","여","20 ~ 24",23.4,20.7,164.6,161.4,3.2,0.3,2386
"2 규모 (10 ~ 29인)","대졸이상","여","25 ~ 29",27.1,20.8,167.0,163.4,3.6,0.4,2785
